"matchup","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Rockets - Warriors",1546.56205429001,1491.0059152439,1500.48793597561,1468.35109862291,1481.91487737982,1512.17769208752,1385.86639756098,1405.11893536585,1429.31532401177,1474.52163431373,1499.3775548913,1463.48887905559,1483.90987945736,1473.09391198242,1528.45655769231,1534.74839868123,1529.28569163207,1567.66990977591,1518.6976769348,1516.19498178862,1499.18030439273,1417.9506858845,1453.17126496296,1408.44731402439,1434.43304329268,1395.16784878049,1468.92070060976,1519.68078373984,1498.08991619622,1496.48787378049,1534.18025622206,1595.16120142738,1535.54887068678,1477.44159329268,1472.55751585366,1491.96259242424,1538.28587745406,1607.81294296476,1673.0949149799
"Rockets - Nuggets",1575.73178163685,1504.64588982028,1507.16515941176,1477.9632028912,1462.35384567251,1508.69098176471,1419.96734911924,1435.25847849033,1526.24220115535,1557.87895116155,1504.59922865089,1551.0438362153,1522.24719837893,1496.86276803694,1447.03987743902,1411.30428658537,1470.95823248573,1571.54902712259,1565.57780102376,1534.39021837398,1476.25021536834,1381.05629076255,1406.58162496296,1433.10802256098,1504.41171707317,1436.44957378049,1418.98095853659,1522.49902011494,1546.55360362263,1523.39972067564,1546.62639437557,1589.81360006607,1610.54173513426,1595.16610266075,1550.6159906434,1555.35874159402,1589.79930625,1564.10904093681,1535.69824640305
"Rockets - Kings",1520.41805144006,1461.60509207317,1510.57037356322,1537.88024722406,1496.2956853318,1467.34887745337,1402.59241829268,1430.57935337877,1461.30016364592,1501.49936460784,1474.07160923913,1465.52470039705,1436.04996583948,1429.83451320193,1441.89321463415,1421.51747560976,1476.23718492475,1497.07543485482,1533.95006473968,1526.5734820155,1501.6603464659,1476.92645356742,1468.9280293266,1498.36795745725,1580.70713218157,1561.65373745645,1583.47770051894,1607.25253368794,1577.38723523182,1515.87803930155,1535.89492941902,1528.31830020787,1484.80250361361,1456.58919207317,1430.63293658537,1465.28213181818,1475.40046243071,1513.91957386364,1524.21847323232
"Rockets - Pistons",1520.05413295369,1463.23538109756,1461.73292987805,1435.71606874486,1393.41276823348,1490.33550733142,1409.34207682927,1460.40610780067,1536.03244829481,1546.66590175559,1560.72975047624,1596.99093924142,1591.91574233615,1590.74648842909,1583.64766237113,1515.75402351416,1522.27625809549,1505.9096726597,1467.95486961773,1535.95751490196,1596.22108434788,1530.73360539669,1541.77344750842,1502.62857387374,1494.53316768293,1489.36351121421,1542.86853487312,1588.79665238095,1590.43922068676,1602.1465612561,1596.31821966292,1627.51438983586,1575.44939442472,1481.0223945122,1452.56575304878,1455.04214545455,1484.82969840632,1507.17621166851,1514.9227762811
"Rockets - Suns",1519.52542095226,1508.33583334785,1529.11371546392,1551.84857343321,1563.6244666303,1536.95968799736,1454.72288310617,1450.94244522666,1497.71796444219,1496.14165870397,1480.24687326352,1480.81257356778,1539.39380481197,1563.48602655434,1597.30673546512,1544.50552525745,1607.04522109595,1630.79509312629,1609.57377865803,1565.0921953876,1533.49980043983,1553.53670742449,1532.9121544724,1527.01858942643,1560.99398806012,1490.68753109756,1511.16175084534,1507.7236148374,1601.4274163848,1577.03849456002,1617.36134063066,1620.23848365334,1588.64712861361,1576.85873902439,1530.68107195122,1517.01058863636,1496.73432157705,1561.69774886364,1582.14632506159
"Rockets - Jazz",1494.35917765957,1455.81632560976,1447.03423170732,1437.02573703754,1435.47804079446,1435.33662501435,1356.77286585366,1435.25853605429,1496.81728022864,1528.44619943,1522.02233912419,1544.59773352713,1542.19120190834,1535.98565536621,1570.53623736264,1546.90075047287,1557.35010588775,1605.34265829932,1624.39529796088,1619.34399516667,1638.13128306323,1609.4723061021,1598.1820941105,1533.42882171262,1574.97893093636,1506.94386910096,1528.86365004205,1531.40276849593,1502.7676094889,1474.29254268293,1574.87901511747,1614.34222269101,1603.11977128252,1581.08580098091,1523.04308658537,1513.22579162338,1538.34863499169,1518.1580452051,1534.54104030549
"Rockets - Sixers",1556.81228062987,1542.96881039236,1525.42128296703,1563.75080398876,1592.15404121756,1586.53376692176,1521.89256344673,1504.15127963975,1566.88309147005,1578.66325878181,1539.0010896989,1521.62420283607,1515.49815837893,1531.62190001264,1541.99580055556,1479.62585365854,1474.96105870524,1505.6248629036,1474.61433608114,1441.00976654472,1457.51008670981,1463.47351942108,1523.67107072158,1498.41969616914,1574.94120067364,1501.11954414774,1525.01031009341,1521.24043678862,1511.87592661113,1490.17927804878,1501.84171112634,1543.70540056818,1559.88800150718,1495.26167256098,1503.45357512616,1541.61142002301,1504.076341699,1463.81741837583,1452.48757445184
"Rockets - Spurs",1539.44779551672,1510.24280742794,1535.6065625,1509.20640545935,1520.56980033817,1527.14123513898,1443.60733370705,1443.18851829268,1495.29297356322,1525.1899122549,1459.97186716596,1479.91094627223,1434.74034571753,1503.45473316481,1584.4738627907,1533.40460973458,1557.8553533765,1616.23367932447,1619.63356134516,1620.31359101449,1485.12658914883,1529.73992303271,1585.18999505252,1558.90140045377,1601.89345197689,1558.4905465403,1581.35628582605,1626.91696721014,1640.82672693954,1598.37627396662,1628.69840789822,1630.57824640152,1616.52915001815,1581.93932652439,1588.39827071785,1589.06143653409,1623.01808108451,1653.95774624459,1649.74722716491
"Rockets - Wizards",1540.53016007716,1503.47047997869,1552.03198316832,1484.87983220305,1489.3472401847,1521.55513575017,1419.31712134146,1433.45807712706,1496.31870132318,1521.94726046315,1515.28585747442,1515.66524329725,1485.0232682785,1469.45760161656,1477.69911280488,1433.27201036585,1454.3793495589,1486.5393574158,1466.43730742261,1524.85088178862,1547.79831090636,1530.22762490889,1496.54184496296,1438.39302682927,1446.07205609756,1442.08031097561,1486.53200304878,1474.03233130081,1518.73437013312,1507.64211771064,1549.26893361641,1541.34384090909,1491.22667190629,1466.36175487805,1426.16523658537,1429.73632954545,1483.26572157705,1558.93293837977,1580.83663681928
"Rockets - Trailblazers",1551.00331082789,1566.36528185976,1503.71334117647,1518.96522722406,1493.00165037122,1516.08137257532,1427.7672617909,1470.89515147883,1516.12839884426,1544.82850291838,1539.1652749368,1559.72558488372,1519.56311073187,1546.51188627794,1615.11284081633,1571.97713875799,1577.72475282039,1596.15354095238,1582.54796455317,1555.4333745977,1568.25222072852,1542.28443881983,1551.53875740741,1555.72002455202,1585.67533005739,1511.44034111191,1543.28101174294,1541.72103556911,1509.09898997671,1433.37545,1481.00736478487,1541.05951972007,1591.946338439,1571.74017425166,1529.28595935421,1526.01476363636,1509.02088072339,1594.8116701002,1619.9443628875
